area_id,state,district,population,population_year,median_household_income,mean_household_income,income_year,crime_count,crime_year,education_institution_count,education_year,transport_stop_count,transport_year,data_year,source,source_url,retrieved_at
selangor_petaling,Selangor,Petaling,2370600,2025,10688,14422,2024,4798,2023,227,2025,,,2025,OpenDOSM; data.gov.my,https://open.dosm.gov.my/data-catalogue/population_district; https://open.dosm.gov.my/data-catalogue/hh_income_district; https://data.gov.my/data-catalogue/schools_district; https://data.gov.my/data-catalogue/crime_district,2026-08-20T10:39:47.977984+00:00
selangor_gombak,Selangor,Gombak,985400,2025,10777,14168,2024,1772,2023,104,2025,,,2025,OpenDOSM; data.gov.my,https://open.dosm.gov.my/data-catalogue/population_district; https://open.dosm.gov.my/data-catalogue/hh_income_district; https://data.gov.my/data-catalogue/schools_district; https://data.gov.my/data-catalogue/crime_district,2026-08-20T10:39:48.874834+00:00
selangor_ulu_langat,Selangor,Ulu Langat,1516600,2025,11404,13822,2024,2763,2023,132,2025,,,2025,OpenDOSM; data.gov.my,https://open.dosm.gov.my/data-catalogue/population_district; https://open.dosm.gov.my/data-catalogue/hh_income_district; https://data.gov.my/data-catalogue/schools_district; https://data.gov.my/data-catalogue/crime_district,2026-08-20T10:39:49.804257+00:00
johor_johor_bahru,Johor,Johor Bahru,1814400,2025,8977,10975,2024,1650,2023,271,2025,,,2025,OpenDOSM; data.gov.my,https://open.dosm.gov.my/data-catalogue/population_district; https://open.dosm.gov.my/data-catalogue/hh_income_district; https://data.gov.my/data-catalogue/schools_district; https://data.gov.my/data-catalogue/crime_district,2026-08-20T10:39:50.867734+00:00
penang_timur_laut,Pulau Pinang,Timur Laut,565900,2025,7745,9993,2024,1241,2023,106,2025,,,2025,OpenDOSM; data.gov.my,https://open.dosm.gov.my/data-catalogue/population_district; https://open.dosm.gov.my/data-catalogue/hh_income_district; https://data.gov.my/data-catalogue/schools_district; https://data.gov.my/data-catalogue/crime_district,2026-08-20T10:39:51.824696+00:00
